hasCode	code	url
Yes	yabwe-_-medium-editor.txt	https://github.com/yabwe/medium-editor/blob/master/CODE_OF_CONDUCT.md
Yes	Shopify-_-draggable.txt	https://github.com/Shopify/draggable/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	handsontable-_-handsontable.txt	https://github.com/handsontable/handsontable/blob/master/CODE_OF_CONDUCT.md
Yes	jasmine-_-jasmine.txt	https://github.com/jasmine/jasmine/blob/main/CODE_OF_CONDUCT.md
No	null	null
Yes	nfl-_-react-helmet.txt	https://github.com/nfl/react-helmet/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	ampproject-_-amphtml.txt	https://github.com/ampproject/amphtml/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	angular-ui-_-bootstrap.txt	https://github.com/angular-ui/bootstrap/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	testing-library-_-react-testing-library.txt	https://github.com/testing-library/react-testing-library/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	facebook-_-prepack.txt	https://github.com/facebook/prepack/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	pouchdb-_-pouchdb.txt	https://github.com/pouchdb/pouchdb/blob/master/CODE_OF_CONDUCT.md
Yes	tannerlinsley-_-react-table.txt	https://github.com/tannerlinsley/react-table/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	badges-_-shields.txt	https://github.com/badges/shields/blob/master/CODE_OF_CONDUCT.md
Yes	fbsamples-_-f8app.txt	https://github.com/fbsamples/f8app/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	netlify-_-netlify-cms.txt	https://github.com/netlify/netlify-cms/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	NodeRedis-_-node-redis.txt	https://github.com/NodeRedis/node-redis/blob/master/CODE_OF_CONDUCT.md
Yes	nodemailer-_-nodemailer.txt	https://github.com/nodemailer/nodemailer/blob/master/CODE_OF_CONDUCT.md
Yes	FormidableLabs-_-webpack-dashboard.txt	https://github.com/FormidableLabs/.github/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	browserify-_-browserify.txt	https://github.com/browserify/browserify/blob/master/code-of-conduct.md
No	null	null
Yes	grab-_-front-end-guide.txt	https://github.com/grab/front-end-guide/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	KaTeX-_-KaTeX.txt	https://github.com/KaTeX/KaTeX/blob/master/CODE_OF_CONDUCT.md
Yes	appium-_-appium.txt	https://github.com/appium/.github/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	angular-_-angular-seed.txt	https://github.com/angular/.github/blob/master/CODE_OF_CONDUCT.md
Yes	hapijs-_-hapi.txt	https://github.com/hapijs/.github/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	sass-_-sass.txt	https://github.com/sass/sass/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	mozilla-_-send.txt	https://github.com/mozilla/send/blob/master/CODE_OF_CONDUCT.md
Yes	plotly-_-plotly.js.txt	https://github.com/plotly/plotly.js/blob/master/code_of_conduct.md
No	null	null
Yes	bootstrap-vue-_-bootstrap-vue.txt	https://github.com/bootstrap-vue/bootstrap-vue/blob/dev/CODE_OF_CONDUCT.md
Yes	artf-_-grapesjs.txt	https://github.com/artf/grapesjs/blob/dev/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
Yes	emotion-js-_-emotion.txt	https://github.com/emotion-js/emotion/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	nhn-_-tui.editor.txt	https://github.com/nhn/tui.editor/blob/master/CODE_OF_CONDUCT.md
Yes	sweetalert2-_-sweetalert2.txt	https://github.com/sweetalert2/sweetalert2/blob/master/.github/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	edent-_-SuperTinyIcons.txt	https://github.com/edent/SuperTinyIcons/blob/master/CODE_OF_CONDUCT.md
Yes	facebookexperimental-_-Recoil.txt	https://github.com/facebookexperimental/Recoil/blob/master/CODE_OF_CONDUCT.md
Yes	aframevr-_-aframe.txt	https://github.com/aframevr/aframe/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	MithrilJS-_-mithril.js.txt	https://github.com/MithrilJS/mithril.js/blob/next/docs/code-of-conduct.md
Yes	zalmoxisus-_-redux-devtools-extension.txt	https://github.com/zalmoxisus/redux-devtools-extension/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	semantic-release-_-semantic-release.txt	https://github.com/semantic-release/semantic-release/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	redux-form-_-redux-form.txt	https://github.com/redux-form/redux-form/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	uxsolutions-_-bootstrap-datepicker.txt	https://github.com/uxsolutions/bootstrap-datepicker/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	rwaldron-_-johnny-five.txt	https://github.com/rwaldron/johnny-five/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	http-party-_-node-http-proxy.txt	https://github.com/http-party/node-http-proxy/blob/master/CODE_OF_CONDUCT.md
Yes	gruntjs-_-grunt.txt	https://github.com/gruntjs/grunt/blob/main/CODE_OF_CONDUCT.md
No	null	null
Yes	node-red-_-node-red.txt	https://github.com/node-red/node-red/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	gaearon-_-react-hot-loader.txt	https://github.com/gaearon/react-hot-loader/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	jsdoc-_-jsdoc.txt	https://github.com/jsdoc/jsdoc/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	gchq-_-CyberChef.txt	https://github.com/gchq/CyberChef/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	Automattic-_-wp-calypso.txt	https://github.com/Automattic/wp-calypso/blob/trunk/CODE-OF-CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	karma-runner-_-karma.txt	https://github.com/karma-runner/karma/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
Yes	outline-_-outline.txt	https://github.com/outline/outline/blob/main/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
Yes	airbnb-_-react-dates.txt	https://github.com/airbnb/.github/blob/main/CODE_OF_CONDUCT.md
Yes	ptmt-_-react-native-macos.txt	https://github.com/ptmt/react-native-macos/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	reactioncommerce-_-reaction.txt	https://github.com/reactioncommerce/reaction/blob/trunk/CODE_OF_CONDUCT.md
No	null	null
No	null	null
Yes	myliang-_-x-spreadsheet.txt	https://github.com/myliang/x-spreadsheet/blob/master/CODE_OF_CONDUCT.md
No	null	null
Yes	discordjs-_-discord.js.txt	https://github.com/discordjs/discord.js/blob/master/.github/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	oliver-moran-_-jimp.txt	https://github.com/oliver-moran/jimp/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	jupyterlab-_-jupyterlab.txt	https://github.com/jupyterlab/.github/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
Yes	mdx-js-_-mdx.txt	https://github.com/mdx-js/.github/blob/master/code-of-conduct.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
Yes	mattboldt-_-typed.js.txt	https://github.com/mattboldt/typed.js/blob/master/CODE_OF_CONDUCT.md
No	null	null
No	null	null
No	null	null
No	null	null
No	null	null
